id,question,cardId,difficulty,source
ex-00001,What is z?,symbol-z,core,seeded
ex-00002,What does lambda mean?,symbol-lambda,core,seeded
ex-00003,Define q_i.,symbol-q-i,core,seeded
ex-00004,What is the critical fractile?,critical-fractile,core,seeded
ex-00005,Why can't I just scale the quantities proportionally?,proportional-adjustment,core,seeded
ex-00006,How do I know whether capacity is binding?,binding-slack,core,seeded
ex-00007,What does marginal contribution mean?,marginal-contribution,core,seeded
ex-00008,What should I do if my quantities exceed capacity?,feasibility-first,core,seeded
ex-00009,What is the cost of one more unit of capacity?,capacity-cost-of-one-more-unit,core,seeded
ex-00010,Should I use all capacity?,all-capacity-not-always,core,seeded
ex-00011,Why do marginal contribution curves decline?,why-mc-declines,core,seeded
ex-00012,Why not just make the product with the highest price?,fallacy-price-alone,core,seeded
ex-00013,What is the difference between CSL and fill rate?,fillrate-csl,core,seeded
ex-00014,What are the symbols used in the model?,symbol-q-i,core,seeded
ex-00015,"As a student, Does newsvendor apply to Autumn, Leaves, or both?",newsvendor-purpose,intermediate,generated
ex-00016,"As a student, Give me a plain English explanation of uncertainty.",newsvendor-purpose,basic,generated
ex-00017,"For the Autumn and Leaves case, Can you compare Autumn and Leaves using single order?",newsvendor-purpose,basic,generated
ex-00018,What mistake do students make about uncertainty?,newsvendor-purpose,basic,generated
ex-00019,Give me a plain English explanation of seasonal.,newsvendor-purpose,applied,generated
ex-00020,"Before I reveal the optimizer, How is What the newsvendor model is for connected to capacity?",newsvendor-purpose,basic,generated
ex-00021,"As a student, What is the formula idea behind newsvendor?",newsvendor-purpose,intermediate,generated
ex-00022,When would uncertainty change my recommendation?,newsvendor-purpose,basic,generated
ex-00023,What is a good way to interpret newsvendor?,newsvendor-purpose,basic,generated
ex-00024,"In the current scenario, Give me a plain English explanation of single order.",newsvendor-purpose,basic,generated
ex-00025,"For the Autumn and Leaves case, Can you give a short hint about seasonal?",newsvendor-purpose,basic,generated
ex-00026,"For the Autumn and Leaves case, How do I know if newsvendor matters here?",newsvendor-purpose,applied,generated
ex-00027,"Before I reveal the optimizer, What does the table tell me about What the newsvendor model is for?",newsvendor-purpose,applied,generated
ex-00028,"For the Autumn and Leaves case, How do I avoid misusing single order?",newsvendor-purpose,basic,generated
ex-00029,"In the current scenario, What is the managerial meaning of newsvendor?",newsvendor-purpose,applied,generated
ex-00030,"Before I reveal the optimizer, What is a good way to interpret seasonal?",newsvendor-purpose,basic,generated
ex-00031,"Before I reveal the optimizer, What does the table tell me about seasonal?",newsvendor-purpose,basic,generated
ex-00032,"Before I reveal the optimizer, How should I think about uncertainty for the parka problem?",newsvendor-purpose,intermediate,generated
ex-00033,Can you explain seasonal without giving away the final answer?,newsvendor-purpose,basic,generated
ex-00034,"For the Autumn and Leaves case, Can you explain single order without giving away the final answer?",newsvendor-purpose,intermediate,generated
ex-00035,"Before I reveal the optimizer, How do I avoid misusing uncertainty?",newsvendor-purpose,applied,generated
ex-00036,"For the Autumn and Leaves case, Can you define single order in simple English?",newsvendor-purpose,basic,generated
ex-00037,How does uncertainty affect the quantities?,newsvendor-purpose,intermediate,generated
ex-00038,How does uncertainty affect the quantities?,newsvendor-purpose,applied,generated
ex-00039,"Before I reveal the optimizer, What does seasonal mean?",newsvendor-purpose,basic,generated
ex-00040,"In the current scenario, Does What the newsvendor model is for apply to Autumn, Leaves, or both?",newsvendor-purpose,applied,generated
ex-00041,"Before I reveal the optimizer, Can you explain single order without giving away the final answer?",newsvendor-purpose,basic,generated
ex-00042,"In the current scenario, What does the table tell me about newsvendor?",newsvendor-purpose,intermediate,generated
ex-00043,What is a good way to interpret uncertainty?,newsvendor-purpose,applied,generated
ex-00044,"As a student, How would I describe single order to a manager?",newsvendor-purpose,basic,generated
ex-00045,"Before I reveal the optimizer, What mistake do students make about uncertainty?",newsvendor-purpose,basic,generated
ex-00046,"For the Autumn and Leaves case, What mistake do students make about seasonal?",newsvendor-purpose,intermediate,generated
ex-00047,"In the current scenario, Is What the newsvendor model is for a probability, a quantity, or a dollar value?",newsvendor-purpose,intermediate,generated
ex-00048,"Before I reveal the optimizer, How should I think about uncertainty for the parka problem?",newsvendor-purpose,basic,generated
ex-00049,"As a student, How does What the newsvendor model is for affect the quantities?",newsvendor-purpose,intermediate,generated
ex-00050,"Before I reveal the optimizer, What is the intuition behind seasonal?",newsvendor-purpose,basic,generated
ex-00051,"For the Autumn and Leaves case, Can you give a short hint about uncertainty?",newsvendor-purpose,intermediate,generated
ex-00052,How do I know if seasonal matters here?,newsvendor-purpose,applied,generated
ex-00053,"Before I reveal the optimizer, Does newsvendor apply to Autumn, Leaves, or both?",newsvendor-purpose,basic,generated
ex-00054,Can you explain single order without giving away the final answer?,newsvendor-purpose,basic,generated
ex-00055,"In the current scenario, What are the units of What the newsvendor model is for?",newsvendor-purpose,applied,generated
ex-00056,"Before I reveal the optimizer, What is a good way to interpret What the newsvendor model is for?",newsvendor-purpose,intermediate,generated
ex-00057,"In the current scenario, What happens to single order if capacity is smaller?",newsvendor-purpose,basic,generated
ex-00058,"For the Autumn and Leaves case, What mistake do students make about What the newsvendor model is for?",newsvendor-purpose,basic,generated
ex-00059,"Before I reveal the optimizer, What does the table tell me about What the newsvendor model is for?",newsvendor-purpose,basic,generated
ex-00060,"For the Autumn and Leaves case, Can you define What the newsvendor model is for in simple English?",newsvendor-purpose,applied,generated
ex-00061,What mistake do students make about seasonal?,newsvendor-purpose,applied,generated
ex-00062,"Before I reveal the optimizer, Can you give a short hint about newsvendor?",newsvendor-purpose,basic,generated
ex-00063,How would I describe uncertainty to a manager?,newsvendor-purpose,basic,generated
ex-00064,"As a student, When would What the newsvendor model is for change my recommendation?",newsvendor-purpose,basic,generated
ex-00065,"In the current scenario, What is a good way to interpret seasonal?",newsvendor-purpose,intermediate,generated
ex-00066,"Before I reveal the optimizer, How should I think about What the newsvendor model is for for the parka problem?",newsvendor-purpose,basic,generated
ex-00067,"In the current scenario, How do I avoid misusing newsvendor?",newsvendor-purpose,basic,generated
ex-00068,"Before I reveal the optimizer, How do I know if single order matters here?",newsvendor-purpose,intermediate,generated
ex-00069,"In the current scenario, When would single order change my recommendation?",newsvendor-purpose,basic,generated
ex-00070,Can you compare Autumn and Leaves using What the newsvendor model is for?,newsvendor-purpose,applied,generated
ex-00071,"For the Autumn and Leaves case, How would I describe single order to a manager?",newsvendor-purpose,basic,generated
ex-00072,"As a student, Can you give a short hint about What the newsvendor model is for?",newsvendor-purpose,basic,generated
ex-00073,"For the Autumn and Leaves case, Why is uncertainty important in this lecture?",newsvendor-purpose,applied,generated
ex-00074,"As a student, How should I think about uncertainty for the parka problem?",newsvendor-purpose,basic,generated
ex-00075,"As a student, Can you define single order in simple English?",newsvendor-purpose,basic,generated
ex-00076,"Before I reveal the optimizer, Can you compare Autumn and Leaves using single order?",newsvendor-purpose,basic,generated
ex-00077,"In the current scenario, What does the table tell me about newsvendor?",newsvendor-purpose,intermediate,generated
ex-00078,What does seasonal mean?,newsvendor-purpose,applied,generated
ex-00079,"As a student, Why is uncertainty important in this lecture?",newsvendor-purpose,intermediate,generated
ex-00080,"In the current scenario, Why is single order important in this lecture?",newsvendor-purpose,intermediate,generated
ex-00081,"Before I reveal the optimizer, What is the formula idea behind uncertainty?",newsvendor-purpose,intermediate,generated
ex-00082,"Before I reveal the optimizer, What should I look for when evaluating newsvendor?",newsvendor-purpose,basic,generated
ex-00083,"In the current scenario, Can you define What the newsvendor model is for in simple English?",newsvendor-purpose,intermediate,generated
ex-00084,"In the current scenario, Can you compare Autumn and Leaves using seasonal?",newsvendor-purpose,applied,generated
ex-00085,Why should I not ignore seasonal?,newsvendor-purpose,applied,generated
ex-00086,"As a student, What should I look for when evaluating seasonal?",newsvendor-purpose,basic,generated
ex-00087,"As a student, I am confused about uncertainty; explain it slowly.",newsvendor-purpose,applied,generated
ex-00088,"Before I reveal the optimizer, How does single order affect the quantities?",newsvendor-purpose,basic,generated
ex-00089,"As a student, How is uncertainty connected to marginal contribution?",newsvendor-purpose,applied,generated
ex-00090,"Before I reveal the optimizer, How is newsvendor connected to capacity?",newsvendor-purpose,basic,generated
